date,tid,price,type,amount
1528704052.0,68156036.0,6662.23,1.0,0.08261485
1528704052.0,68156037.0,6657.99,1.0,0.29030584
1528704053.0,68156038.0,6662.92,0.0,0.022515
1528704056.0,68156039.0,6662.92,0.0,0.00539
1528704058.0,68156049.0,6657.99,1.0,0.01
1528704058.0,68156056.0,6662.92,0.0,0.013
1528704059.0,68156061.0,6662.92,0.0,0.049095
1528704060.0,68156072.0,6663.72,0.0,0.01791915
1528704061.0,68156073.0,6663.72,0.0,0.00539
1528704061.0,68156075.0,6658.79,1.0,0.01
1528704065.0,68156077.0,6663.72,0.0,0.01948085
1528704065.0,68156078.0,6664.3,0.0,0.01
1528704065.0,68156079.0,6666.36,0.0,0.0775
1528704065.0,68156080.0,6666.57,0.0,0.08250268
1528704065.0,68156081.0,6666.58,0.0,0.26051647
1528704066.0,68156082.0,6665.15,0.0,0.00539
1528704069.0,68156084.0,6664.59,0.0,0.054
1528704070.0,68156085.0,6662.93,1.0,0.08254784
1528704070.0,68156086.0,6662.92,1.0,0.18081434
1528704070.0,68156087.0,6660.49,1.0,0.1976
1528704070.0,68156090.0,6657.99,1.0,4.0
1528704070.0,68156091.0,6657.64,1.0,0.01
1528704071.0,68156092.0,6653.61,0.0,1.5
1528704071.0,68156094.0,6654.41,0.0,0.01078
1528704071.0,68156096.0,6654.41,0.0,0.0735
1528704072.0,68156098.0,6654.41,0.0,1.5
1528704072.0,68156102.0,6650.97,1.0,0.00821901
1528704073.0,68156103.0,6654.41,0.0,0.06205832
1528704074.0,68156105.0,6654.41,0.0,4.0
1528704076.0,68156106.0,6663.18,0.0,0.00539
1528704077.0,68156110.0,6663.18,0.0,0.01117358
1528704081.0,68156114.0,6663.18,0.0,0.06597959
1528704081.0,68156115.0,6666.25,0.0,0.01078
1528704082.0,68156117.0,6666.25,0.0,0.04522
1528704083.0,68156119.0,6667.85,0.0,0.02466031
1528704083.0,68156121.0,6667.85,1.0,0.33102041
1528704085.0,68156131.0,6663.53,1.0,0.00448584
1528704085.0,68156134.0,6667.91,0.0,0.062
1528704086.0,68156140.0,6669.28,0.0,0.00539
1528704087.0,68156142.0,6669.28,0.0,0.07211
1528704087.0,68156143.0,6669.3,0.0,1.4996
1528704087.0,68156144.0,6669.57,0.0,0.052
1528704088.0,68156145.0,6669.99,0.0,0.05966
1528704088.0,68156149.0,6670.0,0.0,0.05093539
1528704088.0,68156151.0,6670.0,0.0,4.94906461
1528704088.0,68156152.0,6671.23,0.0,0.045
1528704089.0,68156153.0,6671.37,1.0,0.01
1528704089.0,68156155.0,6670.83,1.0,0.14739799
1528704090.0,68156156.0,6672.56,0.0,0.07144
1528704090.0,68156157.0,6672.89,0.0,0.051
1528704090.0,68156158.0,6674.44,0.0,0.229848
1528704090.0,68156159.0,6674.55,0.0,0.051
1528704090.0,68156161.0,6674.6,0.0,0.296712
1528704091.0,68156162.0,6674.6,0.0,0.00539
1528704093.0,68156164.0,6670.0,1.0,0.020263
1528704093.0,68156165.0,6670.0,1.0,4.0
1528704096.0,68156173.0,6674.6,0.0,0.01078
1528704097.0,68156174.0,6674.6,0.0,1.05
1528704097.0,68156176.0,6674.6,0.0,0.37406735
1528704097.0,68156179.0,6674.6,0.0,5.0
1528704097.0,68156181.0,6674.6,0.0,5.0
1528704097.0,68156183.0,6674.6,0.0,0.76305065
1528704098.0,68156184.0,6676.21,0.0,0.01130064
1528704098.0,68156188.0,6676.21,0.0,0.04369936
1528704101.0,68156195.0,6677.87,0.0,0.00539
1528704103.0,68156198.0,6677.87,0.0,0.00961
1528704104.0,68156199.0,6684.96,0.0,0.12557126
1528704104.0,68156200.0,6684.98,0.0,0.0775
1528704104.0,68156201.0,6685.0,0.0,0.83731874
1528704104.0,68156202.0,6671.16,1.0,0.02985004
1528704106.0,68156205.0,6685.9,0.0,0.00539
1528704107.0,68156207.0,6688.91,0.0,0.02656124
1528704107.0,68156208.0,6688.91,0.0,0.03449876
1528704108.0,68156210.0,6688.91,1.0,0.36609924
1528704108.0,68156211.0,6688.91,1.0,0.366
1528704108.0,68156212.0,6688.91,1.0,0.034
1528704110.0,68156214.0,6686.53,0.0,0.35
1528704111.0,68156215.0,6677.87,0.0,0.00539
1528704111.0,68156216.0,6677.87,0.0,0.00461
1528704112.0,68156218.0,6688.78,0.0,0.013034
1528704114.0,68156220.0,6688.92,0.0,0.13178528
1528704115.0,68156229.0,6688.86,0.0,0.00519974
1528704117.0,68156242.0,6688.42,0.0,0.003
1528704118.0,68156245.0,6688.84,0.0,0.22601746
1528704119.0,68156257.0,6688.84,0.0,0.18106244
1528704120.0,68156259.0,6679.28,1.0,0.5125
1528704121.0,68156260.0,6679.28,0.0,0.3
1528704121.0,68156261.0,6679.28,0.0,0.08234416
1528704122.0,68156271.0,6679.28,0.0,4.10515584
1528704123.0,68156275.0,6688.84,0.0,0.0375
1528704123.0,68156277.0,6687.88,0.0,0.02472386
1528704125.0,68156282.0,6679.08,0.0,0.04791079
1528704125.0,68156284.0,6679.08,0.0,0.05208921
1528704127.0,68156288.0,6680.07,1.0,0.05157802
1528704127.0,68156290.0,6688.34,0.0,0.01388634
1528704129.0,68156291.0,6688.34,0.0,0.20101366
1528704130.0,68156294.0,6688.34,1.0,1.79898634
1528704131.0,68156295.0,6687.99,0.0,0.00539
1528704133.0,68156299.0,6679.21,1.0,0.5
